species	group	genome_size	hcn	map_length	sexual_system	size	num_markers	parpath	data_source	genus	log10_size
Dicentrarchus labrax	animal	0.76284	24	13.731	NA	0.5	368	FALSE	Stapley et al (2017)	Dicentrarchus	-0.3010299956639812
Drosophila serrata	animal	0.20538	4	2.4530000000000003	gonochorous	0.001245	58	FALSE	Stapley et al (2017)	Drosophila	-2.904830648568245
Ectocarpus siliculosus	sar	0.195811	34	24.593000000000004	NA	0.3	NA	FALSE	Stapley et al (2017)	Ectocarpus	-0.5228787452803376
Eimeria maxima	sar	0.0459751	14	28.839000000000002	NA	NA	NA	TRUE	Stapley et al (2017)	Eimeria	NA
Eimeria tenella	sar	0.0518944	12	6.53	NA	NA	NA	TRUE	Stapley et al (2017)	Eimeria	NA
Elaeis guineensis	plant	1.53518	16	14.995	NA	20	NA	FALSE	Stapley et al (2017)	Elaeis	1.3010299956639813
Elaeis oleifera	plant	1.40273	16	14.85	NA	20	NA	FALSE	Stapley et al (2017)	Elaeis	1.3010299956639813
Elymus lanceolatus	plant	8.24454	14	25.74	NA	0.725	NA	FALSE	Stapley et al (2017)	Elymus	-0.13966199342900631
Epinephelus aeneus	animal	1.0758	24	9.695	hermaphrodite	0.6	222	FALSE	Stapley et al (2017)	Epinephelus	-0.2218487496163564
Equus caballus	animal	3.14916	32	27.72	gonochorous	1.63068	742	FALSE	Stapley et al (2017)	Equus	0.2123687446887913
Eremochloa ophiuroides	plant	0.81174	9	6.236000000000001	NA	0.225	NA	FALSE	Stapley et al (2017)	Eremochloa	-0.6478174818886375
Eriobotrya japonica	plant	0.76284	17	10.36	NA	3.5	NA	FALSE	Stapley et al (2017)	Eriobotrya	0.5440680443502757
Eriocheir sinensis	animal	1.68	73	51.2553	gonochorous	0.055	10358	FALSE	Stapley et al (2017)	Eriocheir	-1.2596373105057561
Esox lucius	animal	1.09536	25	12.892999999999999	gonochorous	0.485	301	FALSE	Stapley et al (2017)	Esox	-0.3142582613977364
Eucalyptus camaldulensis	plant	0.60636	11	12.36	NA	20	NA	FALSE	Stapley et al (2017)	Eucalyptus	1.3010299956639813
Eucalyptus grandis	plant	0.5915922	11	11.07	NA	50	NA	FALSE	Stapley et al (2017)	Eucalyptus	1.6989700043360187
Eucalyptus tereticornis	plant	0.5868	11	12.414000000000001	NA	35	NA	FALSE	Stapley et al (2017)	Eucalyptus	1.5440680443502757
Eucalyptus urophylla	plant	0.595602	11	12.085	NA	35	NA	FALSE	Stapley et al (2017)	Eucalyptus	1.5440680443502757
Eucommia ulmoides	plant	0.72372	17	21.33	NA	0.15	NA	FALSE	Stapley et al (2017)	Eucommia	-0.8239087409443188
Fagopyrum esculentum	plant	1.3594	8	15.743	NA	0.0381	NA	FALSE	Stapley et al (2017)	Fagopyrum	-1.4190750243243806
Felis silvestris	animal	2.89488	19	44.64	gonochorous	0.62865	58055	FALSE	Stapley et al (2017)	Felis	-0.20159108011047439
Fenneropenaeus chinensis	animal	1.66	44	18.95795	gonochorous	0.1685	245.5	FALSE	Stapley et al (2017)	Fenneropenaeus	-0.7734000947926425
Festuca arundinacea	plant	4.18584	21	14.175	NA	1.2	NA	FALSE	Stapley et al (2017)	Festuca	0.07918124604762482
Ficedula albicollis	animal	1.11834	30	17.87	gonochorous	0.1275	211	FALSE	Stapley et al (2017)	Ficedula	-0.894489815230026
Fragaria iinumae	plant	0.199628	7	4.5169999999999995	NA	0.3	NA	FALSE	Stapley et al (2017)	Fragaria	-0.5228787452803376
Fragaria vesca	plant	0.214373	7	4.162	NA	0.1524	NA	FALSE	Stapley et al (2017)	Fragaria	-0.8170150329964183
Fragaria xananassa	plant	0.697762	28	18.2	NA	0.375	NA	FALSE	Stapley et al (2017)	Fragaria	-0.42596873227228116
Fusarium circinatum	fungi	0.0439486	11	27.744	parthenogenic	NA	NA	TRUE	Stapley et al (2017)	Fusarium	NA
Fusarium graminearum	fungi	0.036458	4	11.4	parthenogenic	NA	NA	TRUE	Stapley et al (2017)	Fusarium	NA
Fusarium oxysporum	fungi	0.0613869	15	0.86	parthenogenic	NA	NA	FALSE	Stapley et al (2017)	Fusarium	NA
