species	group	type	trophic	mass_g	mass_reference	density	density_reference
Cavia aperea	mammals	rodentia	primary consumers	487	398	2040	570
Citellus fulvus	mammals	rodentia	primary consumers	1020	"496, 732"	278	354
Citellus pygmaeus	mammals	rodentia	primary consumers	222	1	1250	"1, 221"
Clethrionomys gapperi	mammals	rodentia	primary consumers	27	93	1160	"83, 470, 584"
Clethrionomys glareolus	mammals	rodentia	primary consumers	23	"398, 412, 582,674"	1890	"3, 16, 22, 23,60, 61, 113,280, 281, 325, 435, 444, 474, 520, 551, 611, 654, 715"
Clethrionomys occidentalis	mammals	rodentia	primary consumers	31	732	556	241
Clethrionomys rutilus	mammals	rodentia	primary consumers	28	"93, 582"	4600	702
Coendu prehensalis	mammals	rodentia	primary consumers	4000	110	40.3	"110, 183"
Cricetulus migratorius	mammals	rodentia	primary consumers	30.5	490	250	232
Cryptomys hottentotus	mammals	rodentia	primary consumers	68.7	"247, 607, 617"	741	247
Ctenomys opimus	mammals	rodentia	primary consumers	241	516	247	"497, 516"
Ctenomys peruanus	mammals	rodentia	primary consumers	400	497	4200	"497, 516"
Cynomys ludovicianus	mammals	rodentia	primary consumers	1130	93	2470	369
Dasymys incomptus	mammals	rodentia	primary consumers	88	"18, 151, 283,398, 553, 607,617"	1940	"48, 148, 150,461, 606"
Dasyprocta leporina	mammals	rodentia	primary consumers	2700	182	90	183
Dasyprocta punctata	mammals	rodentia	primary consumers	2000	185	100	"212, 619"
Delanymys brooksi	mammals	rodentia	primary consumers	5	151	985	"149, 150"
Dendromus mesomelas	mammals	rodentia	primary consumers	13.5	"149, 151, ,553"	1980	"148, 150, 461"
Dendromus mysticalis	mammals	rodentia	primary consumers	8.2	"149, 151"	1170	"150, 461"
Desmodillus auricularis	mammals	rodentia	primary consumers	55	617	1429	119
Dicrostonyx groenlandicus	mammals	rodentia	primary consumers	56	"87, 237"	585	"205, 237, 375"
Dipodomys agilis	mammals	rodentia	primary consumers	60	"93, 260"	504	"120, 418, 449"
Dipodomys deserti	mammals	rodentia	primary consumers	108	"76, 93"	469	"41, 42"
Dipodomys elator	mammals	rodentia	primary consumers	145	732	1450	567
Dipodomys heermanni	mammals	rodentia	primary consumers	72	93	950	129
Dipodomys merriami	mammals	rodentia	primary consumers	38.5	"93, 115, 260,346, 347, 620"	1209	"41, 42, 56,114, 115, 120,114, 115, 120,599, 620, 701 "
Dipodomys microps	mammals	rodentia	primary consumers	65	"76, 93, 346, 347"	1310	"41, 42"
Dipodomys ordii	mammals	rodentia	primary consumers	53	"76, 93"	449	"56, 229, 522,"
Dipodomys spectabilis	mammals	rodentia	primary consumers	145	93	205	"599, 701 598, 701"
Echimys chrysurus	mammals	rodentia	primary consumers	475	269	7	269
Echimys semivillosus	mammals	rodentia	primary consumers	400	497	40	183
Eothenomys smithi	mammals	rodentia	primary consumers	35	"134, 732"	1610	653
Erethizon dorsatum	mammals	rodentia	primary consumers	8620	93	3.9	547
Eutamias minimus	mammals	rodentia	primary consumers	39	"76, 93, 677"	1700	677
Eutamias townsendi	mammals	rodentia	primary consumers	97	93	531	241
Gerbillurus paeba	mammals	rodentia	primary consumers	26	617	1950	119
Glaucomys volans	mammals	rodentia	primary consumers	69	"93, 429"	293	429
Heteromys anomalus	mammals	rodentia	primary consumers	69	427	1090	"183, 497, 572"
Heteromys desmarestianus	mammals	rodentia	primary consumers	65	215	695	"212, 215"
Hybomys trivirgatus	mammals	rodentia	primary consumers	63	282	91	282
Hydrochaerus hydrochaerus	mammals	rodentia	primary consumers	32800	"398, 683"	104	"183, 184, 733"
Irenomys tarsalis	mammals	rodentia	primary consumers	44.5	515	325	515
Lagurus curtatus	mammals	rodentia	primary consumers	30	93	666	379
Lemmus trimucronatus	mammals	rodentia	primary consumers	81	"87, 93"	2900	"87, 375"
Lemniscomys griselda	mammals	rodentia	primary consumers	54	"607, 617"	387	648
Lemniscomys striatus	mammals	rodentia	primary consumers	65	"151, 282, 398,553"	777	"48, 112, 149,150, 398, 461"
Liomys pictus	mammals	rodentia	primary consumers	44	182	1380	127
Liomys salvini	mammals	rodentia	primary consumers	39	215	620	215
Makalata armatus	mammals	rodentia	primary consumers	400	110	175	110
Malacomys edwardsi	mammals	rodentia	primary consumers	64	"126, 283"	256	"283, 284"
Marmota flaviventris	mammals	rodentia	primary consumers	3400	93	296	"21, 645"
Marmota marmota	mammals	rodentia	primary consumers	3950	"398, 674"	616	721
Melomys cervinipes	mammals	rodentia	primary consumers	65	"33, 97, 574"	667	"33, 34, 711"
Meriones persicus	mammals	rodentia	primary consumers	116	398	150	232
Microcavia australis	mammals	rodentia	primary consumers	250	570	2390	570
Microtus agrestis	mammals	rodentia	primary consumers	36	"582, 674"	2200	"280, 281, 477"
Microtus arvalis	mammals	rodentia	primary consumers	27	"398, 399, 674"	3770	"22, 161, 520"
Microtus californicus	mammals	rodentia	primary consumers	71	93	9900	"38, 376, 406"
Microtus longicaudatus	mammals	rodentia	primary consumers	47	93	7500	130
Microtus mexicanus	mammals	rodentia	primary consumers	35	93	3000	130
Microtus montanus	mammals	rodentia	primary consumers	43	"93, 677"	6750	"210, 677"
Microtus ochrogaster	mammals	rodentia	primary consumers	35	93	12000	"377, 436, 437,448"
Microtus oeconomus	mammals	rodentia	primary consumers	49	"93, 582"	4500	"244, 272, 702"
Microtus pennsylvanicus	mammals	rodentia	primary consumers	49	93	4040	"55, 83, 249,257, 377, 584"
Mus bufo	mammals	rodentia	primary consumers	8.6	"151, 553"	380	"148, 150"
Mus minutoides	mammals	rodentia	primary consumers	6.4	"18, 151, 290,553, 607, 617"	868	"48, 112, 148,150, 461"
Mus musculoides	mammals	rodentia	primary consumers	8.5	282	699	282
Mus triton	mammals	rodentia	primary consumers	11.8	"20, 151, 553,607"	919	"112, 148, 150,461"
Mylomys dybowskii	mammals	rodentia	primary consumers	108	"151, 553"	189	"48, 112"
Myomys daltoni	mammals	rodentia	primary consumers	34	283	3170	283
Neacomys guianae	mammals	rodentia	primary consumers	17.8	269	31	269
Neofiber alleni	mammals	rodentia	primary consumers	254	"54, 683"	9880	54
Neotoma floridana	mammals	rodentia	primary consumers	250	291	140	31
Neotoma fuscipes	mammals	rodentia	primary consumers	248	"77, 93"	93	418
Neotoma lepida	mammals	rodentia	primary consumers	130	"77, 78, 93,600"	1610	"58, 78, 418"
Neotoma micropus	mammals	rodentia	primary consumers	260	93	1600	"556, 701"
Ochrotomys nuttalli	mammals	rodentia	primary consumers	21	93	351	"410, 616"
Octodon degus	mammals	rodentia	primary consumers	218	"233, 394"	4000	394
Oenomys hypoxanthus	mammals	rodentia	primary consumers	86	"19, 151, 553"	4220	"148, 150, 461"
Oryzomys bauri	mammals	rodentia	primary consumers	65	121	2300	121
Oryzomys bicolor	mammals	rodentia	primary consumers	49	269	50.2	"183, 269, 497"
Oryzomys capito	mammals	rodentia	primary consumers	42	"201, 212"	532	"183, 201, 212,213, 269"
Oryzomys concolor	mammals	rodentia	primary consumers	35	110	129	"110, 183, 269"
Oryzomys eliurus	mammals	rodentia	primary consumers	40	497	1050	497
Oryzomys longicaudatus	mammals	rodentia	primary consumers	30	233	620	233
Oryzomys macconnelli	mammals	rodentia	primary consumers	76.5	269	58.8	269
Oryzomys nigripes	mammals	rodentia	primary consumers	24.1	679	2455	"497, 679"
Oryzomys oniscus	mammals	rodentia	primary consumers	40	497	200	497
Oryzomys palustris	mammals	rodentia	primary consumers	59	93	1900	614
Oryzomys simplex	mammals	rodentia	primary consumers	40	497	1700	497
Oryzomys subflavus	mammals	rodentia	primary consumers	50	269	100	269
Otomys angoniensis	mammals	rodentia	primary consumers	136	"20, 607, 617"	2970	657
Otomys irroratus	mammals	rodentia	primary consumers	121	"146, 151"	2700	"148, 150, 461"
Pelomys fallax	mammals	rodentia	primary consumers	112	"553, 606, 607,617"	1110	"148, 150"
Perognathus flavus	mammals	rodentia	primary consumers	7.4	"93, 115"	294	"115, 522, 701"
Perognathus intermedius	mammals	rodentia	primary consumers	17	93	480	701
Perognathus longimembris	mammals	rodentia	primary consumers	7.5	"76, 93, 346,347"	214	"114, 449"
Perognathus parous	mammals	rodentia	primary consumers	20	"76, 93"	2970	379
Perognathus penicillatus	mammals	rodentia	primary consumers	15	"76, 93, 115"	701	701
Peromyscus boylii	mammals	rodentia	primary consumers	28	93	585	"80, 127"
Peromyscus californicus	mammals	rodentia	primary consumers	42	"93, 291"	4790	"447, 449"
Peromyscus eremicus	mammals	rodentia	primary consumers	23	"93, 291"	293	"115, 418, 449,"
Peromyscus gossypinus	mammals	rodentia	primary consumers	35	"53, 93, 291"	4650	"701 53, 614, 616"
Peromyscus leucopus	mammals	rodentia	primary consumers	21	"93, 291"	1890	"286, 419, 478,"
Peromyscus maniculatus	mammals	rodentia	primary consumers	20	"76, 93, 291, 677"	1060	"615, 633, 701 38, 118, 203, 229, 241, 379,418, 449, 470, 522, 527, 558, 581, 615, 640, 677, 701"
Peromyscus polionotus	mammals	rodentia	primary consumers	15	291	1040	"143, 499"
Peromyscus truei	mammals	rodentia	primary consumers	24	"76, 93"	4450	447
Phyllotis darwini	mammals	rodentia	primary consumers	52	233	4090	233
Phyllotis osilae	mammals	rodentia	primary consumers	39	"157, 516"	434	"157, 516"
Phyllotis pictus	mammals	rodentia	primary consumers	44	157	263	157
Praomys erythroleucus	mammals	rodentia	primary consumers	53	"309, 310, 398"	876	309
